id,station,municipality,numDocks
116,359 Broadway - Broadway at Fayette Street,Cambridge,19
9,Agganis Arena - 925 Comm Ave.,Boston,19
142,Alewife Station at Russell Field,Cambridge,23
66,Allston Green District - Commonwealth Ave & Griggs St,Boston,15
107,Ames St at Main St,Cambridge,19
113,Andrew Station - Dorchester Ave at Humboldt Pl,Boston,15
20,Aquarium Station - 200 Atlantic Ave.,Boston,19
10,B.U. Central - 725 Comm. Ave.,Boston,11
122,BIDMC - Brookline at Burlington St,Boston,15
16,Back Bay / South End Station,Boston,19
53,Beacon St / Mass Ave,Boston,19
79,Beacon St at Washington / Kirkland,Somerville,15
117,Binney St / Sixth St,Cambridge,19
65,Boston Convention & Exhibition Center,Boston,19
13,Boston Medical Center -  East Concord at Harrison Ave,Boston,19
36,Boston Public Library - 700 Boylston St.,Boston,25
55,Boylston / Mass Ave,Boston,15
50,Boylston St / Berkeley St,Boston,15
81,Boylston St / Washington St,Boston,15
61,Boylston at Fairfield,Boston,19
30,Brigham Cir / Huntington Ave,Boston,15
175,Brighton Center,Boston,16
1,Broadway St at Mt Pleasant St,Somerville,15
86,Brookline Village - Station Street @ MBTA,Brookline,15
171,Bunker Hill Community College,Boston,18
19,Buswell St. at Park Dr.,Boston,15
96,Cambridge Main Library at Broadway / Trowbridge St,Cambridge,19
95,Cambridge St - at Columbia St / Webster Ave,Cambridge,15
6,Cambridge St. at Joy St.,Boston,15
84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,Cambridge,15
76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,Cambridge,17
68,Central Square at Mass Ave / Essex St,Cambridge,19
60,Charles Circle - Charles St. at Cambridge St.,Boston,15
120,Charles St at Beacon St,Boston,15
94,Charlestown - Main St at Austin St,Boston,11
98,Charlestown - Warren St at Chelsea St,Boston,19
59,Chinatown Gate Plaza - Surface Rd. at Beach St.,Boston,15
46,Christian Science Plaza,Boston,19
3,Colleges of the Fenway,Boston,15
57,Columbus Ave. at Mass. Ave.,Boston,11
64,Congress / Sleeper,Boston,19
71,Conway Park - Somerville Avenue,Somerville,15
69,Coolidge Corner - Beacon St @ Centre St,Brookline,19
47,Cross St. at Hanover St.,Boston,18
124,Curtis Hall at South Street,Boston,15
139,Dana Park,Cambridge,19
140,Danehy Park,Cambridge,17
100,Davis Square,Somerville,25
63,Dorchester Ave. at Gillette Park,Boston,15
56,Dudley Square,Boston,15
128,E. Cottage St at Columbia Rd,Boston,19
143,EF - North Point Park,Cambridge,23
169,Edwards Playground - Main Street & Eden Street,Boston,15
126,Egleston Square at Columbus Ave,Boston,15
7,Fan Pier,Boston,15
44,Faneuil Hall - Union St. at North St.,Boston,19
162,Franklin Park - Seaver Street at Humbolt Ave,Boston,15
170,Franklin Park Zoo,Boston,14
35,Franklin St. / Arch St.,Boston,23
133,Green St T,Boston,15
14,HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,Boston,21
70,Harvard Kennedy School at Bennett St / Eliot St,Cambridge,23
89,Harvard Law School at Mass Ave / Jarvis St,Cambridge,19
15,Harvard Real Estate - Brighton Mills - 370 Western Ave,Boston,15
73,Harvard Square at Brattle St / Eliot St,Cambridge,15
74,Harvard Square at Mass Ave/ Dunster,Cambridge,19
108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,Cambridge,17
110,Harvard University Gund Hall at Quincy St / Kirkland S,Cambridge,15
17,Harvard University Housing - 111 Western Ave. at Soldiers Field Park ,Boston,15
87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,Cambridge,15
104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,Cambridge,19
97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,Cambridge,19
149,Harvard University Transportation Services - 175 North Harvard St,Boston,18
129,Hayes Square at Vine St.,Boston,19
159,Heath St at South Huntington,Boston,15
125,Hyde Square at Barbara St,Boston,15
135,ID Building East,Boston,17
136,ID Building West,Boston,19
152,Ink Block,Boston,15
88,Inman Square at Vellucci Plaza / Hampshire St,Cambridge,19
29,Innovation Lab - 125 Western Ave. at Batten Way,Boston,15
93,JFK / UMASS at MBTA Station,Boston,15
103,JFK Crossing at Harvard St. / Thorndike St.,Brookline,15
123,JP Center - Centre Street at Myrtle Street,Boston,15
131,Jackson Square T at Centre St,Boston,19
151,John F Fitzgerald - Surface Road at India Street,Boston,19
141,Kendall Street,Cambridge,15
33,Kenmore Sq / Comm Ave,Boston,15
75,Lafayette Square at Mass Ave / Main St / Columbia St,Cambridge,15
32,Landmark Centre,Boston,11
163,Lawn on D,Boston,18
90,Lechmere Station at Cambridge St / First St,Cambridge,19
176,Lesley University,Cambridge,15
40,Lewis Wharf - Atlantic Ave.,Boston,15
118,Linear Park - Mass. Ave. at Cameron Ave. ,Cambridge,19
11,Longwood Ave / Binney St,Boston,15
105,Lower Cambridgeport at Magazine St/Riverside Rd,Cambridge,19
178,MIT Pacific St at Purrington St,Cambridge,19
80,MIT Stata Center at Vassar St / Main St,Cambridge,35
179,MIT Vassar St,Cambridge,25
67,MIT at Mass Ave / Amherst St,Cambridge,27
137,Magoun Square at Trum Field,Somerville,15
138,Mass Ave at Newmarket Square,Boston,15
23,Mayor Martin J Walsh - 28 State St,Boston,21
180,Mt Auburn,Cambridge,19
106,Mt Pleasant Ave / Dudley Town Common,Boston,15
37,New Balance - 20 Guest St.,Boston,15
134,New Balance Store - Boylston at Dartmouth,Boston,15
52,Newbury St / Hereford St,Boston,18
5,Northeastern U / North Parking Lot,Boston,15
72,One Broadway / Kendall Sq at Main St / 3rd St,Cambridge,15
91,One Kendall Square at Hampshire St / Portland St,Cambridge,19
111,Packard Ave / Powderhouse Blvd,Somerville,15
41,Packard's Corner - Comm. Ave. at Brighton Ave.,Boston,19
115,Porter Square Station,Cambridge,19
48,Post Office Square,Boston,19
102,Powder House Circle - Nathan Tufts Park,Somerville,15
21,Prudential Center / Belvidere,Boston,25
145,Rindge Avenue - O'Neill Library,Cambridge,19
43,Rowes Wharf - Atlantic Ave,Boston,15
27,Roxbury Crossing Station,Boston,15
12,Ruggles Station / Columbus Ave.,Boston,15
167,Ryan Playground - Dorchester Avenue Station,Boston,15
31,Seaport Hotel,Boston,15
24,Seaport Square - Seaport Blvd. at Boston Wharf,Boston,19
77,Somerville City Hall,Somerville,15
112,Somerville Hospital at Highland Ave / Crocker St,Somerville,15
119,South Boston Library - 646 East Broadway,Boston,15
22,South Station - 700 Atlantic Ave.,Boston,46
85,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,Boston,19
150,State Street at Channel Center,Boston,19
49,Stuart St. at Charles St.,Boston,19
38,TD Garden - Causeway at Portal Park #2,Boston,27
109,TD Garden - West End Park (formerly TD Garden - Causeway at Portal Park #1),Boston,34
114,Teele Square at 239 Holland St,Somerville,15
58,The Esplanade - Beacon St. at Arlington St.,Boston,15
25,Tremont St / W Newton St,Boston,15
54,Tremont St / West St,Boston,15
4,Tremont St. at Berkeley St.,Boston,15
92,UMass Boston Integrated Sciences Complex,Boston,19
8,Union Square - Brighton Ave. at Cambridge St.,Boston,15
78,Union Square - Somerville,Somerville,19
177,University Park,Cambridge,19
82,Washington Square at Washington St. / Beacon St.,Brookline,15
174,Washington St at Brock St,Boston,15
51,Washington St. at Lenox St.,Boston,15
39,Washington St. at Rutland St.,Boston,19
26,Washington St. at Waltham St.,Boston,15
160,Wentworth Institute of Technology,Boston,14
161,West Broadway at D Street,Boston,18
121,West Broadway at Dorchester St,Boston,17
99,Wilson Square,Somerville,15
45,Yawkey Way at Boylston St.,Boston,19
